B,D_ms,link_rate_mbps,seed,T_emp_rtt,T_analytic_rtt,residual_rtt,reason
3.0,1.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,4,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,4,19.0,12.0,7.0,starvation_detected
4.0,1.0,100.0,0,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,1,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,2,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,3,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,4,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,0,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,1,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,2,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,3,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,4,26.0,22.0,4.0,starvation_detected
5.0,1.0,100.0,0,35.0,32.0,3.0,starvation_detected
5.0,1.0,100.0,1,35.0,32.0,3.0,starvation_detected
5.0,1.0,100.0,2,35.0,32.0,3.0,starvation_detected
5.0,1.0,100.0,3,35.0,32.0,3.0,starvation_detected
5.0,1.0,100.0,4,35.0,32.0,3.0,starvation_detected
5.0,5.0,100.0,0,35.0,32.0,3.0,starvation_detected
5.0,5.0,100.0,1,35.0,32.0,3.0,starvation_detected
5.0,5.0,100.0,2,35.0,32.0,3.0,starvation_detected
5.0,5.0,100.0,3,35.0,32.0,3.0,starvation_detected
5.0,5.0,100.0,4,35.0,32.0,3.0,starvation_detected
6.0,1.0,100.0,0,46.0,42.0,4.0,starvation_detected
6.0,1.0,100.0,1,46.0,42.0,4.0,starvation_detected
6.0,1.0,100.0,2,46.0,42.0,4.0,starvation_detected
6.0,1.0,100.0,3,46.0,42.0,4.0,starvation_detected
6.0,1.0,100.0,4,46.0,42.0,4.0,starvation_detected
6.0,5.0,100.0,0,46.0,42.0,4.0,starvation_detected
6.0,5.0,100.0,1,46.0,42.0,4.0,starvation_detected
6.0,5.0,100.0,2,46.0,42.0,4.0,starvation_detected
6.0,5.0,100.0,3,46.0,42.0,4.0,starvation_detected
6.0,5.0,100.0,4,46.0,42.0,4.0,starvation_detected
