B,D_ms,link_rate_mbps,seed,T_emp_rtt,T_analytic_rtt,residual_rtt,reason
3.0,1.0,100.0,0,nan,12.0,,horizon_reached
3.0,1.0,100.0,1,nan,12.0,,horizon_reached
3.0,1.0,100.0,2,nan,12.0,,horizon_reached
3.0,1.0,100.0,3,nan,12.0,,horizon_reached
3.0,1.0,100.0,4,nan,12.0,,horizon_reached
3.0,5.0,100.0,0,nan,12.0,,horizon_reached
3.0,5.0,100.0,1,nan,12.0,,horizon_reached
3.0,5.0,100.0,2,nan,12.0,,horizon_reached
3.0,5.0,100.0,3,nan,12.0,,horizon_reached
3.0,5.0,100.0,4,nan,12.0,,horizon_reached
4.0,1.0,100.0,0,nan,22.0,,horizon_reached
4.0,1.0,100.0,1,nan,22.0,,horizon_reached
4.0,1.0,100.0,2,nan,22.0,,horizon_reached
4.0,1.0,100.0,3,nan,22.0,,horizon_reached
4.0,1.0,100.0,4,nan,22.0,,horizon_reached
4.0,5.0,100.0,0,nan,22.0,,horizon_reached
4.0,5.0,100.0,1,nan,22.0,,horizon_reached
4.0,5.0,100.0,2,nan,22.0,,horizon_reached
4.0,5.0,100.0,3,nan,22.0,,horizon_reached
4.0,5.0,100.0,4,nan,22.0,,horizon_reached
5.0,1.0,100.0,0,nan,32.0,,horizon_reached
5.0,1.0,100.0,1,nan,32.0,,horizon_reached
5.0,1.0,100.0,2,nan,32.0,,horizon_reached
5.0,1.0,100.0,3,nan,32.0,,horizon_reached
5.0,1.0,100.0,4,nan,32.0,,horizon_reached
5.0,5.0,100.0,0,nan,32.0,,horizon_reached
5.0,5.0,100.0,1,nan,32.0,,horizon_reached
5.0,5.0,100.0,2,nan,32.0,,horizon_reached
5.0,5.0,100.0,3,nan,32.0,,horizon_reached
5.0,5.0,100.0,4,nan,32.0,,horizon_reached
6.0,1.0,100.0,0,nan,42.0,,horizon_reached
6.0,1.0,100.0,1,nan,42.0,,horizon_reached
6.0,1.0,100.0,2,nan,42.0,,horizon_reached
6.0,1.0,100.0,3,nan,42.0,,horizon_reached
6.0,1.0,100.0,4,nan,42.0,,horizon_reached
6.0,5.0,100.0,0,nan,42.0,,horizon_reached
6.0,5.0,100.0,1,nan,42.0,,horizon_reached
6.0,5.0,100.0,2,nan,42.0,,horizon_reached
6.0,5.0,100.0,3,nan,42.0,,horizon_reached
6.0,5.0,100.0,4,nan,42.0,,horizon_reached
