B,D_ms,link_rate_mbps,seed,T_emp_rtt,T_analytic_rtt,residual_rtt,reason
3.0,1.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,4,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,5,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,6,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,7,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,8,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,9,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,10,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,11,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,12,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,13,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,14,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,15,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,16,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,17,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,18,19.0,12.0,7.0,starvation_detected
3.0,1.0,100.0,19,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,4,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,5,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,6,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,7,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,8,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,9,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,10,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,11,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,12,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,13,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,14,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,15,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,16,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,17,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,18,19.0,12.0,7.0,starvation_detected
3.0,2.0,100.0,19,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,4,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,5,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,6,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,7,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,8,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,9,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,10,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,11,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,12,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,13,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,14,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,15,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,16,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,17,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,18,19.0,12.0,7.0,starvation_detected
3.0,5.0,100.0,19,19.0,12.0,7.0,starvation_detected
3.0,10.0,100.0,0,19.0,12.0,7.0,starvation_detected
3.0,10.0,100.0,1,19.0,12.0,7.0,starvation_detected
3.0,10.0,100.0,2,19.0,12.0,7.0,starvation_detected
3.0,10.0,100.0,3,19.0,12.0,7.0,starvation_detected
3.0,10.0,100.0,4,19.0,12.0,7.0,starvation_detected
