t_ms pacing_bps cwnd rtt_ms raw
0 47764648 30 8.572 47764648bps
0 17222176 32 9.017 17222176bps
0 17222176 28 8.492 17222176bps
1000 11887024 21 8.824 11887024bps
1000 7182456 15 8.846 7182456bps
1000 7192712 16 8.949 7192712bps
1000 5752120 13 8.647 5752120bps
1000 5740496 13 8.867 5740496bps
1000 5748016 13 8.649 5748016bps
1000 5745968 13 8.733 5745968bps
1000 5745968 13 8.957 5745968bps
1000 5750064 12 8.751 5750064bps
2000 5211616 12 8.642 5211616bps
2000 7188440 14 8.846 7188440bps
2000 7185016 14 8.647 7185016bps
2000 7173056 14 8.739 7173056bps
2000 7180744 14 8.99 7180744bps
2000 7192712 14 8.647 7192712bps
2000 5740496 11 8.825 5740496bps
2000 5743912 12 8.954 5743912bps
3000 5748016 12 8.651 5748016bps
3000 5740496 12 8.731 5740496bps
3000 5739816 12 8.953 5739816bps
3000 5743912 12 8.657 5743912bps
3000 7179896 14 8.745 7179896bps
3000 7185016 14 8.95 7185016bps
3000 5748016 12 8.65 5748016bps
3000 5741176 12 8.737 5741176bps
3000 5742544 12 8.827 5742544bps
4000 5738448 11 8.645 5738448bps
4000 5741864 12 8.734 5741864bps
4000 5743232 12 8.948 5743232bps
4000 7179040 14 8.648 7179040bps
4000 7171352 14 8.834 7171352bps
4000 7180744 14 8.94 7180744bps
4000 5741176 12 8.648 5741176bps
4000 5743232 12 8.826 5743232bps
4000 5743232 12 8.644 5743232bps
5000 5745280 12 8.73 5745280bps
5000 5745280 12 8.938 5745280bps
5000 5206664 12 8.648 5206664bps
5000 7183312 14 8.745 7183312bps
5000 7183312 14 8.953 7183312bps
5000 5738448 12 8.645 5738448bps
5000 5746648 12 8.735 5746648bps
5000 5741864 12 8.949 5741864bps
5000 5752800 11 8.649 5752800bps
6000 5744600 12 8.734 5744600bps
6000 5744600 12 8.941 5744600bps
6000 7180744 14 8.652 7180744bps
6000 7173056 14 8.733 7173056bps
6000 7173056 14 8.827 7173056bps
6000 5742544 12 8.646 5742544bps
6000 5737760 12 8.738 5737760bps
6000 5740496 12 8.97 5740496bps
6000 5759632 12 8.644 5759632bps
7000 5759632 4 9.053 5759632bps
7000 5759632 4 8.815 5759632bps
7000 7199544 14 8.738 7199544bps
7000 5744600 12 8.832 5744600bps
7000 5743232 12 8.647 5743232bps
7000 5741864 12 8.638 5741864bps
7000 5738448 12 8.833 5738448bps
7000 5736392 12 8.986 5736392bps
7000 5741176 12 8.619 5741176bps
8000 5736392 12 8.837 5736392bps
8000 5738448 12 8.936 5738448bps
8000 5738448 12 8.645 5738448bps
8000 7181600 14 8.828 7181600bps
8000 7181600 13 8.662 7181600bps
8000 5743232 12 8.737 5743232bps
8000 5746648 12 8.957 5746648bps
8000 5743912 12 8.65 5743912bps
8000 5753480 12 8.826 5753480bps
9000 5745968 12 8.644 5745968bps
9000 5207280 12 8.656 5207280bps
9000 7182456 14 8.831 7182456bps
9000 5745968 12 8.644 5745968bps
9000 5737760 12 8.746 5737760bps
9000 5740496 12 8.951 5740496bps
9000 5763056 11 8.649 5763056bps
9000 5741176 11 8.889 5741176bps
10000 5745280 12 8.952 5745280bps
10000 5745280 12 8.661 5745280bps
10000 5741864 12 8.728 5741864bps
10000 7171352 14 8.974 7171352bps
10000 7186728 14 8.647 7186728bps
10000 5740496 11 8.837 5740496bps
10000 5739816 12 8.652 5739816bps
10000 5751432 12 8.75 5751432bps
10000 5741864 11 8.828 5741864bps
11000 5743912 12 8.656 5743912bps
11000 5755536 12 8.645 5755536bps
11000 5735712 11 8.831 5735712bps
11000 5735712 12 8.65 5735712bps
11000 7169640 14 8.743 7169640bps
11000 7180744 14 8.939 7180744bps
11000 7181600 14 8.647 7181600bps
11000 7181600 14 8.84 7181600bps
11000 5748696 11 8.632 5748696bps
12000 5748696 13 8.739 5748696bps
12000 5738448 13 8.933 5738448bps
12000 5738448 13 8.65 5738448bps
12000 5742544 13 8.741 5742544bps
12000 5739128 13 8.96 5739128bps
12000 5748016 13 8.648 5748016bps
12000 7185016 16 8.844 7185016bps
12000 7182456 16 8.653 7182456bps
12000 7179040 16 8.74 7179040bps
13000 5741864 4 9.027 5741864bps
13000 5741864 4 8.822 5741864bps
13000 7177328 14 8.838 7177328bps
13000 5737760 13 8.646 5737760bps
13000 5738448 13 8.728 5738448bps
13000 5746648 13 8.954 5746648bps
13000 5738448 13 8.655 5738448bps
13000 5739128 13 8.834 5739128bps
13000 5744600 12 8.642 5744600bps
14000 5756216 13 8.739 5756216bps
14000 5756216 13 8.97 5756216bps
14000 7185016 16 8.647 7185016bps
14000 7195272 15 8.828 7195272bps
14000 7179040 14 8.639 7179040bps
14000 5758272 13 8.739 5758272bps
14000 5758272 12 8.945 5758272bps
14000 5749384 13 8.643 5749384bps
14000 5738448 12 8.738 5738448bps
15000 5738448 13 8.973 5738448bps
15000 7195272 16 8.651 7195272bps
15000 7195272 16 8.818 7195272bps
15000 7184168 15 8.65 7184168bps
15000 5754848 13 8.727 5754848bps
15000 5743232 13 8.981 5743232bps
15000 5745280 13 8.649 5745280bps
15000 5751432 13 8.817 5751432bps
15000 5751432 13 8.648 5751432bps
16000 7176472 16 8.73 7176472bps
16000 7179040 16 8.975 7179040bps
16000 7179040 16 8.653 7179040bps
16000 7183312 16 8.829 7183312bps
16000 5745968 12 8.646 5745968bps
16000 5740496 13 8.752 5740496bps
16000 5756216 13 8.959 5756216bps
16000 5744600 13 8.647 5744600bps
16000 5746648 13 8.824 5746648bps
17000 5746648 13 8.644 5746648bps
17000 7182456 16 8.736 7182456bps
17000 7173912 16 8.952 7173912bps
17000 5748016 13 8.654 5748016bps
17000 5745280 13 8.836 5745280bps
17000 5745280 13 8.649 5745280bps
17000 5739128 13 8.74 5739128bps
17000 5739816 13 8.937 5739816bps
17000 5739816 13 8.646 5739816bps
18000 5764424 13 8.837 5764424bps
18000 5764424 13 8.643 5764424bps
18000 5750064 13 8.727 5750064bps
18000 7173912 16 8.973 7173912bps
18000 7171352 16 8.649 7171352bps
18000 5746648 13 8.833 5746648bps
18000 5744600 13 8.636 5744600bps
18000 5743232 13 8.736 5743232bps
18000 5743232 13 8.952 5743232bps
19000 5740496 13 8.643 5740496bps
19000 5740496 13 8.835 5740496bps
19000 7183312 16 8.641 7183312bps
19000 7183312 16 8.731 7183312bps
19000 5740496 13 8.956 5740496bps
19000 5744600 13 8.648 5744600bps
19000 5746648 13 8.836 5746648bps
19000 5738448 13 8.637 5738448bps
19000 5752800 13 8.733 5752800bps
20000 7191000 16 8.938 7191000bps
20000 7189296 15 8.647 7189296bps
20000 5751432 13 8.842 5751432bps
20000 5738448 13 8.652 5738448bps
20000 5738448 13 8.739 5738448bps
20000 5750064 13 8.957 5750064bps
20000 5737760 13 8.648 5737760bps
20000 5737760 4 8.983 5737760bps
21000 5737760 4 9.062 5737760bps
21000 5737760 13 8.662 5737760bps
21000 5740496 13 8.822 5740496bps
21000 5737760 13 8.639 5737760bps
21000 5737080 13 8.74 5737080bps
21000 5737080 13 8.943 5737080bps
21000 7171352 16 8.646 7171352bps
21000 7187584 16 8.829 7187584bps
21000 5740496 13 8.644 5740496bps
22000 5738448 13 8.741 5738448bps
22000 5750064 13 8.956 5750064bps
22000 5750064 13 8.646 5750064bps
22000 5743232 12 8.832 5743232bps
22000 5745280 13 8.641 5745280bps
22000 5754848 13 8.744 5754848bps
22000 7193568 16 8.934 7193568bps
22000 7175624 15 8.645 7175624bps
22000 5740496 13 8.832 5740496bps
23000 5738448 13 34.351 5738448bps
23000 5737760 19 9.694 5737760bps
23000 5778088 17 8.746 5778088bps
23000 5747328 17 8.953 5747328bps
23000 5747328 17 8.644 5747328bps
23000 5743232 17 8.736 5743232bps
23000 7178184 20 8.943 7178184bps
23000 7178184 19 8.652 7178184bps
24000 7175624 19 8.65 7175624bps
24000 5738448 17 8.838 5738448bps
24000 5739128 17 8.645 5739128bps
24000 5739128 17 8.755 5739128bps
24000 5738448 17 8.938 5738448bps
24000 5739128 17 8.648 5739128bps
24000 5744600 17 8.831 5744600bps
24000 7180744 19 8.645 7180744bps
24000 7183312 19 8.743 7183312bps
25000 7183312 19 8.946 7183312bps
25000 5750064 15 8.659 5750064bps
25000 5743232 16 8.831 5743232bps
25000 5739128 17 8.647 5739128bps
25000 5737080 17 8.74 5737080bps
25000 5740496 17 8.959 5740496bps
25000 5202320 16 8.644 5202320bps
25000 7179040 19 8.743 7179040bps
25000 7179040 18 8.938 7179040bps
26000 5741864 16 8.644 5741864bps
26000 5738448 16 8.827 5738448bps
26000 5742544 16 8.638 5742544bps
26000 5741864 17 8.726 5741864bps
26000 5741864 17 8.933 5741864bps
26000 5741864 15 8.65 5741864bps
26000 5199848 16 8.834 5199848bps
26000 7196128 19 8.951 7196128bps
26000 7196128 15 8.651 7196128bps
27000 7192712 16 8.839 7192712bps
27000 5748016 12 8.641 5748016bps
27000 5738448 13 8.747 5738448bps
27000 5742544 13 8.948 5742544bps
27000 5740496 13 8.638 5740496bps
27000 5737080 13 8.834 5737080bps
27000 5740496 13 8.644 5740496bps
27000 5744600 13 8.735 5744600bps
28000 5206664 13 8.833 5206664bps
28000 7181600 16 8.638 7181600bps
28000 7178184 16 8.75 7178184bps
28000 7187584 16 8.973 7187584bps
28000 5751432 4 8.786 5751432bps
28000 5751432 4 9.063 5751432bps
28000 5751432 13 8.653 5751432bps
28000 5751432 12 8.742 5751432bps
28000 5747328 12 8.97 5747328bps
29000 5748696 13 8.65 5748696bps
29000 5739816 12 8.823 5739816bps
29000 7174768 16 8.644 7174768bps
29000 7183312 16 8.734 7183312bps
29000 7183312 15 8.947 7183312bps
29000 7187584 15 8.642 7187584bps
29000 5743232 13 8.823 5743232bps
29000 5737080 13 8.644 5737080bps
29000 5737080 13 8.746 5737080bps
30000 5745280 13 8.871 5745280bps
30000 5224008 12 8.644 5224008bps
30000 7205528 16 8.743 7205528bps
30000 7173056 16 8.93 7173056bps
30000 5741864 13 8.652 5741864bps
30000 5741176 13 8.825 5741176bps
30000 5744600 13 8.646 5744600bps
30000 5744600 13 8.747 5744600bps
30000 5746648 13 8.831 5746648bps
31000 7183312 16 8.646 7183312bps
31000 7174768 16 8.652 7174768bps
31000 7170496 16 8.823 7170496bps
31000 5736392 13 8.649 5736392bps
31000 5742544 13 8.732 5742544bps
31000 5742544 13 8.962 5742544bps
31000 5740496 13 8.65 5740496bps
31000 5751432 13 8.834 5751432bps
31000 5212232 13 8.636 5212232bps
32000 7173912 16 8.727 7173912bps
32000 7174768 16 8.943 7174768bps
32000 5739816 13 8.646 5739816bps
32000 5743232 13 8.842 5743232bps
32000 5750752 13 8.641 5750752bps
32000 5738448 13 8.743 5738448bps
32000 5748696 13 8.829 5748696bps
32000 7185872 16 8.639 7185872bps
32000 7179040 16 8.742 7179040bps
33000 7179040 16 8.947 7179040bps
33000 5741864 13 8.646 5741864bps
33000 5741864 13 8.824 5741864bps
33000 5743912 13 8.638 5743912bps
33000 5737080 12 8.733 5737080bps
33000 5744600 13 8.939 5744600bps
33000 7180744 16 8.642 7180744bps
33000 7173056 16 8.75 7173056bps
33000 7174768 16 8.95 7174768bps
34000 5754848 13 8.656 5754848bps
34000 5754848 12 8.827 5754848bps
34000 5747328 12 8.643 5747328bps
34000 5737080 13 8.735 5737080bps
34000 5742544 13 8.955 5742544bps
34000 5742544 13 8.653 5742544bps
34000 7178184 16 8.826 7178184bps
34000 7180744 14 8.654 7180744bps
34000 7177328 14 8.651 7177328bps
35000 5743232 13 8.831 5743232bps
35000 5743232 12 8.982 5743232bps
35000 5742544 12 8.648 5742544bps
35000 5740496 12 8.745 5740496bps
35000 5740496 12 8.828 5740496bps
35000 5202320 11 8.676 5202320bps
35000 7177328 15 8.736 7177328bps
35000 7177328 15 8.94 7177328bps
35000 7173056 15 8.648 7173056bps
36000 7179040 14 8.838 7179040bps
36000 5739816 12 8.643 5739816bps
36000 5737080 12 8.735 5737080bps
36000 5742544 12 8.951 5742544bps
36000 5745280 12 8.66 5745280bps
36000 5738448 11 8.822 5738448bps
36000 5200464 12 8.634 5200464bps
36000 7170496 15 8.744 7170496bps
37000 7172200 15 8.837 7172200bps
37000 5740496 12 8.642 5740496bps
37000 5740496 12 8.727 5740496bps
37000 5739128 12 8.945 5739128bps
37000 5746648 12 8.649 5746648bps
37000 5754848 12 8.841 5754848bps
37000 5754848 11 8.666 5754848bps
37000 5754848 12 8.735 5754848bps
37000 7183312 15 8.944 7183312bps
38000 7173912 13 8.64 7173912bps
38000 5740496 12 8.829 5740496bps
38000 5748016 12 8.641 5748016bps
38000 5737080 12 8.733 5737080bps
38000 5735712 12 8.95 5735712bps
38000 5218432 11 8.643 5218432bps
38000 7197840 14 8.843 7197840bps
38000 7171352 15 8.643 7171352bps
38000 7171352 15 8.734 7171352bps
39000 5735712 12 8.945 5735712bps
39000 5737080 12 8.667 5737080bps
39000 5745280 12 8.643 5745280bps
39000 5752800 12 8.832 5752800bps
39000 5737760 12 8.942 5737760bps
39000 5741864 12 8.653 5741864bps
39000 5747328 12 8.832 5747328bps
39000 5208520 11 8.642 5208520bps
39000 7179040 15 8.732 7179040bps
40000 7179040 15 8.952 7179040bps
40000 5741864 4 8.631 5741864bps
40000 5741864 4 8.936 5741864bps
40000 5741864 11 9.01 5741864bps
40000 5743232 12 8.644 5743232bps
40000 7179040 15 8.831 7179040bps
40000 7178184 14 8.651 7178184bps
40000 7178184 15 8.726 7178184bps
40000 5741176 12 8.838 5741176bps
41000 5738448 12 8.643 5738448bps
41000 5738448 12 8.735 5738448bps
41000 5735712 12 8.975 5735712bps
41000 5739816 12 8.647 5739816bps
41000 5201704 12 8.837 5201704bps
41000 7180744 15 8.641 7180744bps
41000 7180744 15 8.734 7180744bps
41000 5738448 12 8.935 5738448bps
41000 5737080 12 8.65 5737080bps
42000 5756904 12 8.832 5756904bps
42000 5756904 12 8.64 5756904bps
42000 7196128 15 8.736 7196128bps
42000 7179040 15 8.955 7179040bps
42000 7184168 15 8.649 7184168bps
42000 7184168 14 8.824 7184168bps
42000 5748696 12 8.643 5748696bps
42000 5748696 12 8.73 5748696bps
42000 5740496 12 8.955 5740496bps
43000 5740496 12 8.645 5740496bps
43000 5739816 12 8.825 5739816bps
43000 5738448 12 8.647 5738448bps
43000 5741864 12 8.738 5741864bps
43000 5741864 12 8.83 5741864bps
43000 7185016 15 8.646 7185016bps
43000 7185016 15 8.741 7185016bps
43000 5737080 12 8.98 5737080bps
43000 5758272 12 8.653 5758272bps
44000 5739816 12 8.734 5739816bps
44000 5741864 12 8.947 5741864bps
44000 5748696 12 8.635 5748696bps
44000 5745968 12 8.832 5745968bps
44000 5207896 11 8.643 5207896bps
44000 7183312 15 8.744 7183312bps
44000 7172200 15 8.972 7172200bps
44000 5737080 12 8.655 5737080bps
44000 5743912 12 8.826 5743912bps
45000 5746648 12 8.652 5746648bps
45000 5746648 13 8.745 5746648bps
45000 5737760 13 8.938 5737760bps
45000 5737760 4 8.808 5737760bps
45000 5737760 4 8.941 5737760bps
45000 7178184 16 8.957 7178184bps
45000 7198688 15 8.663 7198688bps
45000 5758952 12 8.756 5758952bps
46000 5750752 12 8.827 5750752bps
46000 5741864 12 8.64 5741864bps
46000 5737080 12 8.734 5737080bps
46000 5737080 12 8.974 5737080bps
46000 5742544 12 8.66 5742544bps
46000 5224008 12 8.825 5224008bps
46000 7205528 15 8.652 7205528bps
46000 7173912 15 8.742 7173912bps
46000 5750064 11 8.989 5750064bps
47000 5750064 12 8.661 5750064bps
47000 5744600 12 8.74 5744600bps
47000 5737080 12 8.953 5737080bps
47000 5743232 12 8.658 5743232bps
47000 5743232 12 8.745 5743232bps
47000 5743912 12 8.968 5743912bps
47000 7179896 15 8.687 7179896bps
47000 7177328 15 8.839 7177328bps
47000 7181600 15 8.649 7181600bps
48000 7174768 15 8.74 7174768bps
48000 5741864 12 8.945 5741864bps
48000 5744600 12 8.64 5744600bps
48000 5745280 12 8.84 5745280bps
48000 5741176 12 8.643 5741176bps
48000 5741176 12 8.734 5741176bps
48000 5741864 12 8.975 5741864bps
48000 7183312 15 8.653 7183312bps
48000 7183312 14 8.839 7183312bps
49000 5746648 11 8.652 5746648bps
49000 5743232 12 8.75 5743232bps
49000 5741864 12 8.954 5741864bps
49000 5743912 12 8.641 5743912bps
49000 5751432 12 8.736 5751432bps
49000 7189296 15 8.949 7189296bps
49000 7198688 15 8.659 7198688bps
49000 7198688 15 8.842 7198688bps
49000 5743912 12 8.948 5743912bps
50000 5737760 12 8.655 5737760bps
50000 5739128 12 8.736 5739128bps
50000 5741864 12 8.941 5741864bps
50000 5737760 12 8.644 5737760bps
50000 5741864 12 8.832 5741864bps
50000 5740496 12 8.943 5740496bps
50000 5740496 12 8.667 5740496bps
50000 5748696 4 9.035 5748696bps
50000 5748696 4 8.812 5748696bps
51000 5750752 12 8.76 5750752bps
51000 5780144 12 8.942 5780144bps
51000 5738448 11 8.635 5738448bps
51000 5738448 12 8.836 5738448bps
51000 7185016 15 8.948 7185016bps
51000 7185016 15 8.64 7185016bps
51000 7179896 14 8.833 7179896bps
51000 7176472 15 8.947 7176472bps
51000 5745280 12 8.651 5745280bps
52000 5741864 12 8.837 5741864bps
52000 5741864 12 8.637 5741864bps
52000 5738448 12 8.735 5738448bps
52000 5738448 12 8.945 5738448bps
52000 5745280 11 8.644 5745280bps
52000 5211616 10 8.826 5211616bps
52000 7188440 13 8.657 7188440bps
52000 7175624 12 8.649 7175624bps
52000 5742544 10 8.745 5742544bps
53000 5756216 10 8.957 5756216bps
53000 5756216 10 8.653 5756216bps
53000 5751432 10 8.831 5751432bps
53000 5740496 10 8.652 5740496bps
53000 5741864 10 8.752 5741864bps
53000 5761000 9 8.938 5761000bps
53000 7201256 12 8.643 7201256bps
53000 7173912 13 8.842 7173912bps
54000 7178184 13 8.933 7178184bps
54000 5743232 10 8.652 5743232bps
54000 5743232 10 8.834 5743232bps
54000 5741864 10 8.64 5741864bps
54000 5747328 10 8.741 5747328bps
54000 5741176 10 8.951 5741176bps
54000 5203560 10 8.656 5203560bps
54000 7181600 13 8.737 7181600bps
54000 7181600 13 8.931 7181600bps
55000 7176472 13 8.67 7176472bps
55000 7176472 12 8.828 7176472bps
55000 5737080 10 8.641 5737080bps
55000 5824576 10 8.745 5824576bps
55000 5741864 9 8.966 5741864bps
55000 5754168 10 8.648 5754168bps
55000 5750064 10 8.823 5750064bps
55000 5750064 10 8.643 5750064bps
55000 5742544 10 8.731 5742544bps
56000 5760320 10 8.66 5760320bps
56000 7200400 12 8.945 7200400bps
56000 7193568 13 8.65 7193568bps
56000 7184168 13 8.751 7184168bps
56000 5741864 10 8.963 5741864bps
56000 5737080 10 8.646 5737080bps
56000 5740496 10 8.832 5740496bps
56000 5745280 10 8.644 5745280bps
56000 5745280 10 8.748 5745280bps
57000 5741864 10 8.951 5741864bps
57000 7181600 13 8.651 7181600bps
57000 7202112 13 8.837 7202112bps
57000 7183312 13 8.646 7183312bps
57000 5742544 4 8.913 5742544bps
57000 5742544 4 9.074 5742544bps
57000 5750064 9 8.655 5750064bps
57000 5750064 10 8.75 5750064bps
57000 5750064 10 8.962 5750064bps
58000 5756216 10 8.66 5756216bps
58000 5754848 10 8.74 5754848bps
58000 5737080 10 8.941 5737080bps
58000 5741176 10 8.642 5741176bps
58000 5743232 10 8.828 5743232bps
58000 5743232 10 8.951 5743232bps
58000 7182456 13 8.658 7182456bps
58000 7182456 12 8.828 7182456bps
58000 5741864 10 8.637 5741864bps
59000 5739128 10 8.736 5739128bps
59000 5737760 10 8.951 5737760bps
59000 5745280 10 8.654 5745280bps
59000 7181600 13 8.829 7181600bps
59000 7180744 12 8.666 7180744bps
59000 7185016 12 8.676 7185016bps
59000 5748696 10 8.741 5748696bps
