B,D,link_rate,seed,T_kernel_ms,T_analytic_ms,residual_ms
4,5,100,0,NA,-10,NA
8,2,100,0,NA,30,NA
12,5,100,0,NA,10,NA
10,3,100,0,NA,20,NA
16,5,100,0,NA,20,NA
20,4,100,0,NA,40,NA
8,2,100,0,NA,30,NA
8,2,100,1,NA,30,NA
8,2,100,2,NA,30,NA
12,5,100,0,NA,10,NA
12,5,100,1,NA,10,NA
12,5,100,2,NA,10,NA
10,3,100,0,NA,20,NA
10,3,100,1,NA,20,NA
10,3,100,2,NA,20,NA
16,5,100,0,NA,20,NA
16,5,100,1,NA,20,NA
16,5,100,2,NA,20,NA
20,4,100,0,NA,40,NA
20,4,100,1,NA,40,NA
20,4,100,2,NA,40,NA
8,2,100,0,NA,30,NA
12,5,100,0,NA,10,NA
10,3,100,0,NA,20,NA
16,5,100,0,NA,20,NA
20,4,100,0,NA,40,NA
