t_ms pacing_bps cwnd rtt_ms raw_pacing
0 83432784 7 42.088 83432784bps
0 83432784 8 60.082 83432784bps
1000 104290976 10 83.294 104290976bps
1000 75610960 9 91.49 75610960bps
1000 69151216 9 107.891 69151216bps
1000 69151216 9 113.689 69151216bps
1000 69151216 9 109.567 69151216bps
2000 86439016 10 126.41 86439016bps
2000 62668288 8 122.636 62668288bps
2000 49861824 7 106.633 49861824bps
2000 49861824 7 96.536 49861824bps
3000 62327288 8 97.009 62327288bps
3000 49861824 7 100.887 49861824bps
3000 45101304 8 82.86 45101304bps
3000 45101304 8 95.697 45101304bps
3000 56376632 10 100.96 56376632bps
4000 56376632 8 100.467 56376632bps
4000 40680824 6 94.809 40680824bps
4000 40680824 6 84.72 40680824bps
4000 50851024 8 80.722 50851024bps
4000 50851024 9 91.934 50851024bps
5000 43246560 9 68.769 43246560bps
5000 43246560 9 76.258 43246560bps
5000 45132216 4 72.05 45132216bps
5000 45132216 6 54.279 45132216bps
6000 45132216 6 67.488 45132216bps
6000 56415272 8 75.396 56415272bps
6000 56415272 8 94.661 56415272bps
6000 45132216 6 87.151 45132216bps
6000 45132216 6 81.65 45132216bps
7000 56415272 8 79.658 56415272bps
7000 40901072 6 97.215 40901072bps
7000 40278960 6 85.306 40278960bps
7000 40278960 6 80.942 40278960bps
8000 50348696 8 79.466 50348696bps
8000 36502808 7 92.966 36502808bps
8000 40248048 7 91.817 40248048bps
8000 43122904 7 88.699 43122904bps
8000 53903632 9 101.563 53903632bps
9000 40676952 7 106.41 40676952bps
9000 44884920 7 95.578 44884920bps
9000 44884920 7 94.882 44884920bps
9000 56106144 9 91.564 56106144bps
9000 63447864 10 99.634 63447864bps
10000 63447864 10 117.401 63447864bps
10000 45999696 8 108 45999696bps
10000 45999696 12 100.406 45999696bps
10000 50758288 4 126.415 50758288bps
10000 50758288 4 85.403 50758288bps
11000 50758288 10 75.543 50758288bps
11000 50758288 10 110.823 50758288bps
11000 50758288 10 124.963 50758288bps
11000 63447864 13 129.289 63447864bps
12000 63447864 14 158.15 63447864bps
12000 45999696 12 177 45999696bps
12000 41377320 11 160.879 41377320bps
12000 41377320 11 132.696 41377320bps
13000 41377320 11 134.689 41377320bps
13000 45657728 11 142.996 45657728bps
13000 57072160 14 141.014 57072160bps
13000 57767696 14 164.476 57767696bps
13000 58347304 14 171.258 58347304bps
14000 42301792 12 172.693 42301792bps
14000 45691536 14 133.154 45691536bps
14000 45691536 14 139.243 45691536bps
14000 45691536 14 170.142 45691536bps
15000 50418248 14 179.733 50418248bps
15000 63022816 17 181.915 63022816bps
15000 63022816 17 206.946 63022816bps
15000 63022816 17 210.209 63022816bps
16000 45691536 14 179.51 45691536bps
16000 50418248 4 129.146 50418248bps
16000 50418248 14 76.338 50418248bps
16000 50418248 14 96.431 50418248bps
16000 50418248 14 155.924 50418248bps
17000 50418248 14 174.317 50418248bps
17000 63022816 16 126.056 63022816bps
17000 63022816 16 148.608 63022816bps
17000 63022816 16 185.724 63022816bps
17000 63022816 16 203.059 63022816bps
18000 45691536 14 208.975 45691536bps
18000 43422368 13 194.361 43422368bps
18000 43422368 13 176.642 43422368bps
18000 43422368 13 175.826 43422368bps
19000 43422368 10 147.534 43422368bps
19000 59892928 12 131.881 59892928bps
19000 59892928 13 131.239 59892928bps
19000 59892928 13 152.603 59892928bps
19000 39556376 10 155.574 39556376bps
20000 39556376 10 141.119 39556376bps
20000 39556376 10 134.491 39556376bps
20000 39556376 10 132.345 39556376bps
20000 54560520 12 133.67 54560520bps
20000 54560520 11 146.818 54560520bps
21000 39556376 10 145.55 39556376bps
21000 40618992 4 126.802 40618992bps
21000 40618992 10 71.772 40618992bps
21000 40742648 10 54.686 40742648bps
22000 50928304 11 65.284 50928304bps
22000 50928304 11 89.237 50928304bps
22000 36923024 9 126.074 36923024bps
22000 40742648 11 99.997 40742648bps
23000 40742648 11 94.907 40742648bps
23000 50928304 13 97.105 50928304bps
23000 50928304 13 134.971 50928304bps
23000 38183672 11 149.878 38183672bps
24000 41601432 12 116.381 41601432bps
24000 41601432 12 106.589 41601432bps
24000 41601432 12 120.985 41601432bps
24000 57381288 14 132.317 57381288bps
24000 57381288 15 170.024 57381288bps
25000 57381288 15 188.717 57381288bps
25000 45905032 13 174.29 45905032bps
25000 40402608 12 85.42 40402608bps
25000 50851024 14 65.347 50851024bps
25000 50851024 14 94.177 50851024bps
26000 36866992 12 143.248 36866992bps
26000 36866992 12 123.758 36866992bps
26000 36866992 12 105.832 36866992bps
26000 40680824 12 80.291 40680824bps
26000 41824584 4 57.911 41824584bps
27000 41824584 12 55.589 41824584bps
27000 41824584 10 74.93 41824584bps
27000 52280728 12 89.028 52280728bps
27000 52280728 12 120.968 52280728bps
27000 52280728 13 144.718 52280728bps
28000 43310312 13 125.416 43310312bps
28000 43310312 13 124.379 43310312bps
28000 43310312 13 139.161 43310312bps
28000 47790688 13 161.488 47790688bps
29000 59738368 15 165.477 59738368bps
29000 59738368 13 181.668 59738368bps
29000 59738368 13 174.67 59738368bps
29000 43310312 11 172.11 43310312bps
29000 41013128 10 157.606 41013128bps
30000 41013128 10 133.953 41013128bps
30000 41013128 10 126.022 41013128bps
30000 56569832 13 128.211 56569832bps
30000 56569832 12 144.946 56569832bps
30000 41013128 9 147.541 41013128bps
31000 44761264 12 122.376 44761264bps
31000 44761264 12 107.776 44761264bps
31000 44761264 12 124.571 44761264bps
31000 44761264 12 144.001 44761264bps
31000 55951584 15 154.442 55951584bps
32000 44761264 4 110.654 44761264bps
32000 48316200 10 68.932 48316200bps
32000 48316200 10 92.978 48316200bps
32000 48316200 10 116.99 48316200bps
32000 48316200 10 124.827 48316200bps
33000 60395256 12 129.136 60395256bps
33000 60395256 14 132.447 60395256bps
33000 43786560 12 164.344 43786560bps
33000 43786560 12 162.553 43786560bps
33000 43786560 12 153.473 43786560bps
34000 43786560 12 148.439 43786560bps
34000 48316200 12 151.448 48316200bps
34000 60395256 14 157.985 60395256bps
34000 60395256 14 171.674 60395256bps
35000 60395256 14 176.244 60395256bps
35000 60395256 14 181.069 60395256bps
35000 42189736 14 160.3 42189736bps
35000 42189736 14 121.892 42189736bps
35000 42189736 14 132.071 42189736bps
36000 46554192 14 146.682 46554192bps
36000 58192744 14 172.67 58192744bps
36000 58192744 14 180.354 58192744bps
36000 58192744 14 182.226 58192744bps
37000 37203168 11 168.776 37203168bps
37000 41051768 4 154.553 41051768bps
37000 41051768 9 74.366 41051768bps
37000 41051768 9 57.414 41051768bps
37000 41051768 9 66.164 41051768bps
38000 51314712 11 78.884 51314712bps
38000 51314712 11 118.563 51314712bps
38000 39192192 11 124.773 39192192bps
38000 39192192 11 95.554 39192192bps
39000 43246560 11 85.059 43246560bps
39000 54058192 13 100.118 54058192bps
39000 54058192 14 144.628 54058192bps
39000 42217752 12 164.44 42217752bps
39000 42217752 12 135.153 42217752bps
40000 42217752 12 140.65 42217752bps
40000 42217752 12 150.771 42217752bps
40000 46585104 12 149.792 46585104bps
40000 58231384 12 156.193 58231384bps
41000 58231384 16 145.995 58231384bps
41000 58231384 16 183.786 58231384bps
41000 42217752 14 192.893 42217752bps
41000 40620928 13 159.259 40620928bps
42000 40620928 13 153.537 40620928bps
42000 40620928 13 156.182 40620928bps
42000 44823096 14 170.957 44823096bps
42000 49459968 4 118.455 49459968bps
42000 51562016 10 74.835 51562016bps
43000 51562016 10 100.11 51562016bps
43000 51562016 10 122.709 51562016bps
43000 51562016 9 128.813 51562016bps
43000 64452520 13 117.496 64452520bps
44000 64452520 13 151.19 64452520bps
44000 46728072 11 158.893 46728072bps
44000 46728072 11 146.923 46728072bps
44000 46728072 11 145.138 46728072bps
44000 51562016 11 145.03 51562016bps
45000 64452520 11 145.058 64452520bps
45000 64452520 11 144.449 64452520bps
45000 36166632 8 130.56 36166632bps
45000 39908008 11 98.856 39908008bps
46000 39938920 11 77.834 39938920bps
46000 49923648 13 77.966 49923648bps
46000 49923648 13 117.303 49923648bps
46000 39416304 12 118.328 39416304bps
46000 39416304 12 94.72 39416304bps
47000 43493856 12 85.08 43493856bps
47000 54367320 14 89.082 54367320bps
47000 54367320 12 135.486 54367320bps
47000 39416304 10 150.528 39416304bps
47000 43493856 4 107.316 43493856bps
48000 43493856 9 77.185 43493856bps
48000 43493856 9 58.086 43493856bps
48000 43493856 9 76.708 43493856bps
48000 54367320 12 105.211 54367320bps
48000 54367320 12 110.159 54367320bps
49000 39416304 10 137.305 39416304bps
49000 42750024 11 111.798 42750024bps
49000 42750024 11 112.078 42750024bps
49000 42750024 11 135.685 42750024bps
50000 47172440 11 142.13 47172440bps
50000 58965552 14 158.446 58965552bps
50000 58965552 14 170.982 58965552bps
50000 42750024 9 179.491 42750024bps
50000 45966856 13 109.264 45966856bps
51000 45966856 13 105.765 45966856bps
51000 45966856 13 132.552 45966856bps
51000 57458568 15 156.321 57458568bps
51000 57458568 16 183.717 57458568bps
51000 57458568 16 200.316 57458568bps
52000 42442832 13 167.355 42442832bps
52000 42442832 13 101.261 42442832bps
52000 42442832 13 93.322 42442832bps
52000 53053544 15 111.446 53053544bps
53000 53053544 16 165.641 53053544bps
53000 38463816 11 197.581 38463816bps
53000 42350096 13 135.717 42350096bps
53000 42350096 13 104.75 42350096bps
53000 42350096 13 116.961 42350096bps
54000 52937616 16 134.765 52937616bps
54000 52937616 16 184.715 52937616bps
54000 52937616 16 197.916 52937616bps
54000 37175152 11 183.061 37175152bps
55000 37175152 11 162.165 37175152bps
55000 37175152 12 130.656 37175152bps
55000 41020856 12 105.624 41020856bps
55000 51276072 14 88.539 51276072bps
55000 45379520 4 94.576 45379520bps
56000 45379520 11 63.36 45379520bps
56000 45379520 11 85.736 45379520bps
56000 45379520 11 125.597 45379520bps
56000 45379520 10 124.126 45379520bps
57000 56724400 14 120.158 56724400bps
57000 56724400 14 166.475 56724400bps
57000 41125184 11 170.407 41125184bps
57000 41125184 11 137.353 41125184bps
57000 41125184 11 134.823 41125184bps
58000 45379520 11 138.658 45379520bps
58000 56724400 14 141.989 56724400bps
58000 56724400 14 169.753 56724400bps
58000 41125184 11 176.125 41125184bps
58000 42226448 13 125.489 42226448bps
59000 42226448 13 101.29 42226448bps
59000 42226448 13 111.722 42226448bps
59000 42226448 13 130.006 42226448bps
59000 52783056 16 146.598 52783056bps
60000 52783056 16 183.177 52783056bps
60000 52783056 16 198.375 52783056bps
60000 38267712 13 192.697 38267712bps
60000 36586848 11 161.826 36586848bps
60000 36586848 12 125.366 36586848bps
61000 40371696 12 104.658 40371696bps
61000 40464432 4 67.539 40464432bps
61000 40495344 12 50.882 40495344bps
61000 50619184 10 46.801 50619184bps
61000 50619184 10 75.551 50619184bps
62000 36726920 10 99.998 36726920bps
62000 40526256 11 84.397 40526256bps
62000 40526256 11 80.753 40526256bps
62000 50657824 13 82.489 50657824bps
62000 50657824 13 108.884 50657824bps
63000 36726920 11 151.135 36726920bps
63000 38211688 11 146.559 38211688bps
63000 38211688 11 134.131 38211688bps
63000 38211688 11 118.436 38211688bps
63000 52705776 13 104.814 52705776bps
64000 52705776 14 112.892 52705776bps
64000 52705776 13 163.158 52705776bps
64000 37399264 12 140.363 37399264bps
64000 41268160 12 96.586 41268160bps
64000 51585200 14 88.706 51585200bps
65000 51585200 15 96.981 51585200bps
65000 51585200 15 145.603 51585200bps
65000 37399264 11 175.916 37399264bps
65000 40309872 12 119.545 40309872bps
66000 40309872 12 99.562 40309872bps
66000 40309872 12 94.075 40309872bps
66000 40309872 4 92.981 40309872bps
66000 41484544 4 65.631 41484544bps
66000 41484544 12 53.581 41484544bps
66000 41484544 12 65.623 41484544bps
67000 51855680 12 79.459 51855680bps
67000 51855680 12 116.312 51855680bps
67000 37595368 10 150.294 37595368bps
67000 51716576 15 116.151 51716576bps
68000 51716576 15 163.825 51716576bps
68000 51716576 15 186.214 51716576bps
68000 51716576 15 193.874 51716576bps
68000 51716576 15 195.181 51716576bps
68000 64645720 18 200.445 64645720bps
69000 64645720 18 221.188 64645720bps
69000 64645720 18 235.194 64645720bps
69000 46868144 15 223.53 46868144bps
69000 38379776 13 175.256 38379776bps
69000 38379776 13 153.567 38379776bps
70000 42350096 13 128.492 42350096bps
70000 52937616 16 126.648 52937616bps
