t_ms pacing_bps cwnd rtt_ms raw_pacing
0 451510328 18 19.858 451510328bps
0 64854376 8 49.06 64854376bps
0 64854376 10 82.302 64854376bps
0 64854376 11 105.882 64854376bps
0 64854376 11 99.556 64854376bps
1000 64854376 11 116.893 64854376bps
1000 81067976 14 129.211 81067976bps
1000 81067976 14 165.776 81067976bps
1000 81067976 14 166.852 81067976bps
1000 81067976 14 217.132 81067976bps
1000 58774280 11 228.469 58774280bps
1000 58774280 11 225.608 58774280bps
2000 53451536 11 209.045 53451536bps
2000 53451536 11 204.565 53451536bps
2000 53451536 11 207.249 53451536bps
2000 53451536 11 200.014 53451536bps
2000 53451536 11 195.956 53451536bps
2000 58981008 9 198.892 58981008bps
2000 73726264 12 188.017 73726264bps
3000 73726264 12 185.504 73726264bps
3000 73726264 12 198.268 73726264bps
3000 73726264 12 217.353 73726264bps
3000 73726264 12 207.113 73726264bps
3000 73726264 14 217.88 73726264bps
3000 53451536 11 204.691 53451536bps
3000 58981008 14 219.187 58981008bps
4000 31716200 8 197.916 31716200bps
4000 31716200 8 154.618 31716200bps
4000 31716200 8 134.592 31716200bps
4000 31716200 8 126.35 31716200bps
4000 31716200 8 128.148 31716200bps
4000 39645248 11 140.097 39645248bps
4000 39645248 11 145.067 39645248bps
5000 39645248 11 168.842 39645248bps
5000 39645248 11 182.409 39645248bps
5000 31716200 4 180.838 31716200bps
5000 31716200 4 139.925 31716200bps
5000 31716200 7 103.818 31716200bps
5000 31716200 7 102.814 31716200bps
5000 31716200 7 110.548 31716200bps
5000 31716200 7 119.304 31716200bps
6000 31716200 7 122.983 31716200bps
6000 39645248 9 122.453 39645248bps
6000 39645248 9 126.644 39645248bps
6000 39645248 10 151.679 39645248bps
6000 39645248 10 140.7 39645248bps
6000 31716200 8 134.073 31716200bps
6000 31716200 8 128.47 31716200bps
7000 31716200 8 124.432 31716200bps
7000 31716200 8 127.959 31716200bps
7000 31716200 8 140.719 31716200bps
7000 31716200 8 131.918 31716200bps
7000 39645248 11 133.006 39645248bps
7000 39645248 9 156.123 39645248bps
7000 40533984 10 160.038 40533984bps
8000 40533984 10 157.994 40533984bps
8000 32427184 7 169.593 32427184bps
8000 32427184 7 145.942 32427184bps
8000 39475232 8 134.55 39475232bps
8000 39475232 8 141.392 39475232bps
8000 39475232 8 139.946 39475232bps
8000 39475232 8 144.364 39475232bps
9000 49344040 10 146.452 49344040bps
9000 49344040 10 142.121 49344040bps
9000 49344040 11 162.139 49344040bps
